name,slug,shortName,gender,userCount,nameCode,disabled,national,type,id,fullName,foundationDateTimestamp,sport.name,sport.slug,sport.id,category.name,category.slug,category.sport.name,category.sport.slug,category.sport.id,category.id,category.flag,category.alpha2,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,primaryUniqueTournament.name,primaryUniqueTournament.slug,primaryUniqueTournament.primaryColorHex,primaryUniqueTournament.secondaryColorHex,primaryUniqueTournament.category.name,primaryUniqueTournament.category.slug,primaryUniqueTournament.category.sport.name,primaryUniqueTournament.category.sport.slug,primaryUniqueTournament.category.sport.id,primaryUniqueTournament.category.id,primaryUniqueTournament.category.flag,primaryUniqueTournament.category.alpha2,primaryUniqueTournament.userCount,primaryUniqueTournament.hasPerformanceGraphFeature,primaryUniqueTournament.id,primaryUniqueTournament.displayInverseHomeAwayTeams,manager.name,manager.slug,manager.shortName,manager.id,manager.country.alpha2,manager.country.name,venue.city.name,venue.stadium.name,venue.stadium.capacity,venue.id,venue.country.alpha2,venue.country.name,country.alpha2,country.name,teamColors.primary,teamColors.secondary,teamColors.text
Tigre,tigre,Tigre,M,12755,TIG,False,False,0,7628,Tigre,-2127427200,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,"Primera Nacional, Group A",primera-nacional-group-a,Argentina,argentina,Football,football,1,48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,Argentina,argentina,Football,football,1,48,argentina,AR,9085,False,703,False,0,37309,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Lucas Pusineri,lucas-pusineri,L. Pusineri,789811,AR,Argentina,Buenos Aires,Estadio Jose Dellagiovanna,26282,4738,AR,Argentina,AR,Argentina,#000099,#ff0000,#ff0000
Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,19880,ELP,False,False,0,3206,Estudiantes de La Plata,-2032646400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Eduardo Dominguez,eduardo-dominguez,E. Dominguez,785591,AR,Argentina,La Plata,Jorge Luis Hirschi Stadium,32500,1050,AR,Argentina,AR,Argentina,#ff0000,#ffffff,#ffffff
Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,17754,ARG,False,False,0,3216,Argentinos Juniors,-2063232000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Pablo Guede,pablo-guede,P. Guede,784660,AR,Argentina,Buenos Aires,Diego Armando Maradona,24380,613,AR,Argentina,AR,Argentina,#cc0000,#ffffff,#ffffff
Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,13105,CAT,False,False,0,36833,Atlético Tucumán,-2122675200,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Favio Orsi,favio-orsi,F. Orsi,794249,AR,Argentina,San Miguel de Tucuman,Estadio Monumental Jose Fierro,35200,12017,AR,Argentina,AR,Argentina,#ffffff,#33ccff,#33ccff
Newell's Old Boys,newells-old-boys,Newell's,M,14714,NOB,False,False,0,3212,Newell's Old Boys,-2087942400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Gabriel Heinze,gabriel-heinze,G. Heinze,785095,AR,Argentina,Rosario,Estadio Marcelo Bielsa,42000,1567,AR,Argentina,AR,Argentina,#ff0000,#000000,#000000
Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,15577,VEL,False,False,0,3208,Vélez Sarsfield,-1893456000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Sebastian Mendez,sebastian-mendez,S. Mendez,786525,AR,Argentina,Buenos Aires,Jose Amalfitani,49540,1079,AR,Argentina,AR,Argentina,#ffffff,#003366,#003366
Barracas Central,barracas-central,Barracas,M,7506,BAR,,False,0,65668,Barracas Central,-2074636800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,"Primera Nacional, Group B",primera-nacional-group-b,Argentina,argentina,Football,football,1,48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,Argentina,argentina,Football,football,1,48,argentina,AR,9085,False,703,False,0,37310,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Sergio Rondina,sergio-rondina,S. Rondina,786421,AR,Argentina,Barracas,Estadio Barracas Central,4400,12710,AR,Argentina,AR,Argentina,#ffffff,#ff0000,#ff0000
Rosario Central,rosario-central,Rosario Central,M,12771,ROS,False,False,0,3217,Rosario Central,-2525212800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Miguel Angel Russo,miguel-angel-russo,M. A. Russo,53483,AR,Argentina,Rosario,Gigante de Arroyito,45000,1329,AR,Argentina,AR,Argentina,#000066,#ffcc00,#ffcc00
Instituto Córdoba,instituto-cordoba,Instituto,M,7816,IAC,,False,0,4937,Instituto Córdoba,-1622073600,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,"Primera Nacional, Group B",primera-nacional-group-b,Argentina,argentina,Football,football,1,48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,Argentina,argentina,Football,football,1,48,argentina,AR,9085,False,703,False,0,37310,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Diego Dabove,diego-dabove,D. Dabove,789566,AR,Argentina,Cordoba,Estadio Juan Domingo Perón,30000,16019,AR,Argentina,AR,Argentina,#e72328,#222226,#222226
Central Córdoba,central-cordoba,Central Córdoba,M,7920,CC,False,False,0,65676,Central Córdoba,-1596240000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Omar De Felippe,omar-de-felippe,O. D. Felippe,784689,AR,Argentina,Santiago del Estero,Estadio Alfredo Terrera,20000,28238,AR,Argentina,AR,Argentina,#ffffff,#000000,#000000
Belgrano,belgrano,Belgrano,M,11438,BEL,,False,0,3203,Belgrano,-2044569600,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,"Primera Nacional, Group A",primera-nacional-group-a,Argentina,argentina,Football,football,1,48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,Argentina,argentina,Football,football,1,48,argentina,AR,9085,False,703,False,0,37309,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Guillermo Farré,guillermo-farre,G. Farré,796862,AR,Argentina,Cordoba,Estadio Julio César Villagra,34830,4750,AR,Argentina,AR,Argentina,#3399ff,#3399ff,#3399ff
