name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,shirtNumber,dateOfBirthTimestamp,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.primaryUniqueTournament.name,team.primaryUniqueTournament.slug,team.primaryUniqueTournament.primaryColorHex,team.primaryUniqueTournament.secondaryColorHex,team.primaryUniqueTournament.category.name,team.primaryUniqueTournament.category.slug,team.primaryUniqueTournament.category.sport.name,team.primaryUniqueTournament.category.sport.slug,team.primaryUniqueTournament.category.sport.id,team.primaryUniqueTournament.category.id,team.primaryUniqueTournament.category.flag,team.primaryUniqueTournament.category.alpha2,team.primaryUniqueTournament.userCount,team.primaryUniqueTournament.id,team.primaryUniqueTournament.displayInverseHomeAwayTeams,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.country.alpha2,team.country.name,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,country.alpha2,country.name,preferredFoot,contractUntilTimestamp,proposedMarketValue,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,retired,deceased,gender
Gonzalo Gonzalez,Gonzalo Gonzalez,,gonzalo-gonzalez,G. Gonzalez,D,41,181.0,3,1381878,41.0,1050364800.0,Gimnasia y Esgrima Reserve,gimnasia-y-esgrima-reserve,Gimnasia y Esgrima,M,Football,football,1,Campeonato de Reserva de Primera División,campeonato-de-reserva-de-primera-division,,,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,3289.0,18817.0,False,1979,GIM,,False,0,237357,AR,Argentina,#52b030,#52b030,#ffffff,AR,Argentina,Right,1735603200.0,46000.0,46000.0,EUR,,,
Tomás Cardona,,,tomas-cardona,T. Cardona,D,25,188.0,82,849020,25.0,813283200.0,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,20270,DYJ,False,False,0,36839,AR,Argentina,#ffff00,#339900,#339900,AR,Argentina,Left,1735603200.0,1500000.0,1500000.0,EUR,,,
Sergio Romero,,,sergio-romero,S. Romero,G,1,192.0,2994,25566,1.0,540950400.0,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,112486,BOC,False,False,0,3202,AR,Argentina,#003399,#ffcc66,#ffcc66,AR,Argentina,Right,1735603200.0,435000.0,435000.0,EUR,,,
Diego Godín,,,diego-godin,Diego Godín,D,2,188.0,2136,14933,2.0,508896000.0,No team,no-team,No team,,Football,football,1,,,,,,,,,,,,,,,,13,NTE,True,False,0,241802,,,#d0d0d0,#000000,#000000,UY,Uruguay,Right,,,,,True,,
Lautaro Giannetti,,,lautaro-giannetti,L. Giannetti,D,17,184.0,162,233856,17.0,753148800.0,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,15570,VEL,False,False,0,3208,AR,Argentina,#ffffff,#003366,#003366,AR,Argentina,Right,1703980800.0,3100000.0,3100000.0,EUR,False,False,
Benjamín Rollheiser,,,benjamin-rollheiser,B. Rollheiser,F,10,175.0,949,922454,10.0,953856000.0,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,19854,ELP,False,False,0,3206,AR,Argentina,#ff0000,#ffffff,#ffffff,AR,Argentina,Left,1751241600.0,7200000.0,7200000.0,EUR,,,
Kevin Mac Allister,,,kevin-mac-allister,K. Mac Allister,D,5,175.0,753,895327,5.0,878860800.0,Royale Union Saint-Gilloise,royale-union-saint-gilloise,USG,M,Football,football,1,Pro League,pro-league,#16002b,#ff1740,Belgium,belgium,Football,football,1.0,33.0,belgium,BE,71304.0,38.0,False,74580,USG,False,False,0,4860,BE,Belgium,#ffec06,#1649fa,#1649fa,AR,Argentina,Right,1782777600.0,4099999.0,4099999.0,EUR,,,
Alexis Martín Arias,,,alexis-martin-arias,A. M. Arias,G,25,185.0,69,340849,25.0,710208000.0,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,17737,ARG,False,False,0,3216,AR,Argentina,#cc0000,#ffffff,#ffffff,AR,Argentina,Right,1703980800.0,680000.0,680000.0,EUR,,,
Mateo Retegui,,,mateo-retegui,M. Retegui,F,19,186.0,3621,914501,19.0,925344000.0,Genoa,genoa,Genoa,M,Football,football,1,Serie A,serie-a,#09519e,#008fd7,Italy,italy,Football,football,1.0,31.0,italy,IT,736696.0,23.0,False,48391,GEN,False,False,0,2713,IT,Italy,#000033,#660000,#660000,IT,Italy,Right,1845936000.0,15500000.0,15500000.0,EUR,False,,
Guido Herrera,,,guido-herrera,G. Herrera,G,22,187.0,76,248977,22.0,699321600.0,Talleres,talleres,Talleres,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,16149,CAT,False,False,0,3210,AR,Argentina,#050040,#ffffff,#ffffff,AR,Argentina,Left,1798675200.0,1900000.0,1900000.0,EUR,,,
Abel Luciatti,,,abel-luciatti,A. Luciatti,D,6,180.0,40,340727,6.0,732412800.0,Tigre,tigre,Tigre,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,12742,TIG,False,False,0,7628,AR,Argentina,#000099,#ff0000,#ff0000,AR,Argentina,Left,1703980800.0,1400000.0,1400000.0,EUR,,,
Matías Melluso,,,matias-melluso,M. Melluso,D,32,168.0,195,895931,32.0,897350400.0,Pafos FC,pafos-fc,Pafos,M,Football,football,1,1. Division,1-division,#5ca139,#f6a019,Cyprus,cyprus,Football,football,1.0,102.0,cyprus,CY,14430.0,171.0,False,14159,PAF,False,False,0,171626,CY,Cyprus,#ffffff,#ffffff,#ffffff,AR,Argentina,Left,1780185600.0,1400000.0,1400000.0,EUR,,,
Andres Desabato,,,desabato-andres,A. Desabato,G,1,183.0,16,941546,1.0,638755200.0,Barracas Central,barracas-central,Barracas,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,7491,BAR,,False,0,65668,AR,Argentina,#ffffff,#ff0000,#ff0000,AR,Argentina,Right,1703980800.0,205000.0,205000.0,EUR,,,M
Miguel Torren,,,miguel-torren,M. Torren,D,2,179.0,82,76383,2.0,587347200.0,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,17737,ARG,False,False,0,3216,AR,Argentina,#cc0000,#ffffff,#ffffff,AR,Argentina,Right,1767139200.0,365000.0,365000.0,EUR,,,
Alejo Veliz,Alejo Veliz,,alejo-veliz,A. Veliz,F,36,187.0,2637,1116987,36.0,1063929600.0,Tottenham Hotspur,tottenham-hotspur,Tottenham ,M,Football,football,1,Premier League,premier-league,#3c1c5a,#f80158,England,england,Football,football,1.0,1.0,england,EN,1358322.0,17.0,False,598337,TOT,False,False,0,33,EN,England,#ffffff,#000066,#000066,AR,Argentina,Right,1877472000.0,11400000.0,11400000.0,EUR,,,
