name,firstName,lastName,slug,shortName,position,jerseyNumber,height,preferredFoot,userCount,id,shirtNumber,dateOfBirthTimestamp,contractUntilTimestamp,proposedMarketValue,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.primaryUniqueTournament.name,team.primaryUniqueTournament.slug,team.primaryUniqueTournament.primaryColorHex,team.primaryUniqueTournament.secondaryColorHex,team.primaryUniqueTournament.category.name,team.primaryUniqueTournament.category.slug,team.primaryUniqueTournament.category.sport.name,team.primaryUniqueTournament.category.sport.slug,team.primaryUniqueTournament.category.sport.id,team.primaryUniqueTournament.category.id,team.primaryUniqueTournament.category.flag,team.primaryUniqueTournament.category.alpha2,team.primaryUniqueTournament.userCount,team.primaryUniqueTournament.id,team.primaryUniqueTournament.displayInverseHomeAwayTeams,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.country.alpha2,team.country.name,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,retired,deceased,gender
Gatito Fernández,,,gatito-fernandez,G. Fernández,G,1,191.0,Right,440,840027,1.0,575596800.0,1735603200.0,440000.0,Botafogo,botafogo,Botafogo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,100509,BOT,False,False,0,1958,BR,Brazil,#000000,#ffffff,#ffffff,PY,Paraguay,440000.0,EUR,,,
Arthur Wenderroscky,Arthur Wenderroscky,,arthur-wenderroscky,A. Wenderroscky,M,28,172.0,Left,176,1382913,28.0,1109203200.0,,270000.0,Fluminense U20,fluminense-u20,Fluminense,M,Football,football,1,"U20 Carioca, Serie A",u20-carioca-serie-a,,,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,423.0,20102.0,False,5063,FLU,,False,0,199294,BR,Brazil,#660000,#006633,#006633,BR,Brazil,270000.0,EUR,False,,
Gabriel Grando,Gabriel Grando,,gabriel-grando,Gabriel Grando,G,12,192.0,Right,538,1111770,12.0,954288000.0,1767139200.0,2300000.0,Grêmio,gremio,Grêmio,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,107182,GPA,False,False,0,5926,BR,Brazil,#3399ff,#000033,#000033,BR,Brazil,2300000.0,EUR,False,,
Luciano,,,luciano,Luciano,F,10,181.0,Left,2627,282557,10.0,737683200.0,1735603200.0,2700000.0,São Paulo,sao-paulo,São Paulo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,160434,SPA,False,False,0,1981,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,2700000.0,EUR,,,
Igor Gomes,,,igor-gomes,I. Gomes,M,17,182.0,Right,644,913598,17.0,921628800.0,1798675200.0,4600000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,4600000.0,EUR,,,
Caetano,,,caetano,Caetano,D,14,182.0,Left,479,959006,14.0,930182400.0,1735603200.0,1600000.0,Corinthians,corinthians,Corinthians,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,174419,COR,False,False,0,1957,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,1600000.0,EUR,False,,
Allano,,,allano,Allano,F,77,182.0,Left,92,796925,77.0,798681600.0,1735603200.0,380000.0,Goiás,goias,Goiás,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,39854,GGO,False,False,0,1960,BR,Brazil,#006633,#ffffff,#ffffff,BR,Brazil,380000.0,EUR,False,False,
Julián Palacios,,,julian-palacios,J. Palacios,M,10,172.0,Right,168,1005177,10.0,918086400.0,1703980800.0,580000.0,Goiás,goias,Goiás,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,39854,GGO,False,False,0,1960,BR,Brazil,#006633,#ffffff,#ffffff,AR,Argentina,580000.0,EUR,False,False,
Caio Alexandre,,,caio-alexandre,Caio Alexandre,M,8,174.0,Right,323,1008832,8.0,919814400.0,1703980800.0,2600000.0,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,73132,FOR,False,False,0,2020,BR,Brazil,#0000ff,#ff0000,#ff0000,BR,Brazil,2600000.0,EUR,False,,
Dimitri Payet,,,dimitri-payet,D. Payet,M,10,175.0,Both,7302,14216,10.0,543974400.0,1751241600.0,1700000.0,Vasco da Gama,vasco-da-gama,Vasco,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,103340,VAS,False,False,0,1974,BR,Brazil,#ffffff,#000000,#000000,FR,France,1700000.0,EUR,,,
Bruno Fuchs,,,bruno-fuchs,Bruno Fuchs,D,3,190.0,Right,427,973737,3.0,922924800.0,1703980800.0,1900000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,1900000.0,EUR,False,,
Ayrton Lucas,,,ayrton-lucas,Ayrton Lucas,D,6,180.0,Left,2496,818473,6.0,866678400.0,1830211200.0,8400000.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,BR,Brazil,8400000.0,EUR,False,,
Christian,,,christian,Christian,M,88,178.0,Right,297,981733,88.0,977184000.0,1735603200.0,7500000.0,Athletico,athletico,Athletico,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,68818,CAP,False,False,0,1967,BR,Brazil,#000000,#cc0000,#cc0000,BR,Brazil,7500000.0,EUR,False,,
Neris,,,neris,Neris,D,27,190.0,Right,109,840247,27.0,708739200.0,1735603200.0,750000.0,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,79902,CRU,False,False,0,1954,BR,Brazil,#0033cc,#0033cc,#0033cc,BR,Brazil,750000.0,EUR,False,,
Bruno Henrique,,,bruno-henrique,Bruno Henrique,M,8,180.0,Right,359,345113,8.0,624931200.0,1767139200.0,770000.0,Internacional,internacional,Internacional,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,90636,INT,False,False,0,1966,BR,Brazil,#cc0000,#cc0000,#cc0000,BR,Brazil,770000.0,EUR,False,False,
Cacá,,,caca,Cacá,D,25,185.0,Right,174,929200,25.0,924998400.0,1719705600.0,620000.0,Athletico,athletico,Athletico,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,68818,CAP,False,False,0,1967,BR,Brazil,#000000,#cc0000,#cc0000,BR,Brazil,620000.0,EUR,False,False,
Ramiro,,,ramiro,Ramiro,M,17,167.0,Right,298,330693,17.0,738028800.0,1735603200.0,1500000.0,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,79902,CRU,False,False,0,1954,BR,Brazil,#0033cc,#0033cc,#0033cc,BR,Brazil,1500000.0,EUR,False,,
Adyson,Adyson,,adyson,Adyson,F,44,168.0,Left,75,1175259,44.0,1127347200.0,1767139200.0,920000.0,América Mineiro,america-mineiro,América-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,43928,AMG,False,False,0,1973,BR,Brazil,#056635,#ffffff,#ffffff,BR,Brazil,920000.0,EUR,False,,M
Pablo,,,pablo,Pablo,D,30,188.0,Right,818,243735,30.0,677462400.0,1767139200.0,1900000.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,BR,Brazil,1900000.0,EUR,,,
Pepê,,,pepe,Pepê,M,23,183.0,Right,549,946945,23.0,884044800.0,1767139200.0,1900000.0,Grêmio,gremio,Grêmio,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,107182,GPA,False,False,0,5926,BR,Brazil,#3399ff,#000033,#000033,BR,Brazil,1900000.0,EUR,False,,
Hugo,,,hugo,Hugo,D,16,175.0,Left,203,1018915,16.0,1000944000.0,1735603200.0,1900000.0,Botafogo,botafogo,Botafogo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,100509,BOT,False,False,0,1958,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,1900000.0,EUR,,,
Mateus Pasinato,,,mateus-pasinato,Mateus Pasinato,G,14,192.0,Right,104,914169,14.0,709689600.0,1735603200.0,325000.0,América Mineiro,america-mineiro,América-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,43928,AMG,False,False,0,1973,BR,Brazil,#056635,#ffffff,#ffffff,BR,Brazil,325000.0,EUR,False,,
Marllon,,,marllon,Marllon,D,4,184.0,Right,92,221206,4.0,703382400.0,1703980800.0,480000.0,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,31008,CUI,False,False,0,49202,BR,Brazil,#ffffff,#006600,#006600,BR,Brazil,480000.0,EUR,,,
Thaciano,,,thaciano,Thaciano,M,16,182.0,Right,408,872039,16.0,800236800.0,1767139200.0,775000.0,Bahia,bahia,Bahia,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,62440,BAH,False,False,0,1955,BR,Brazil,#ffffff,#333399,#333399,BR,Brazil,775000.0,EUR,,,
Gabriel Pires,,,gabriel-pires,G. Pires,M,14,186.0,Left,493,178407,14.0,748310400.0,1703980800.0,3800000.0,Botafogo,botafogo,Botafogo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,100509,BOT,False,False,0,1958,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,3800000.0,EUR,,,
Cristian Pavón,,,cristian-pavon,C. Pavón,M,9,169.0,Right,1638,358956,9.0,822182400.0,1751241600.0,3700000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,AR,Argentina,3700000.0,EUR,,,
Gabriel Vasconcelos,,,gabriel-vasconcelos,Gabriel Vasconcelos,G,1,193.0,Right,188,147467,1.0,717552000.0,1798675200.0,1500000.0,Coritiba,coritiba,Coritiba,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,38928,COR,False,False,0,1982,BR,Brazil,#ffffff,#009966,#009966,BR,Brazil,1500000.0,EUR,False,,
Hyoran,,,hyoran,Hyoran,M,20,174.0,Right,425,551348,20.0,738288000.0,1703980800.0,2600000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,2600000.0,EUR,False,,
Wellington Rato,,,wellington-rato,W. Rato,M,27,172.0,Left,735,865356,27.0,709689600.0,1767139200.0,1100000.0,São Paulo,sao-paulo,São Paulo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,160434,SPA,False,False,0,1981,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,1100000.0,EUR,,,
Sergio Rochet,,,sergio-rochet,Sergio Rochet,G,33,190.0,Right,1042,581060,33.0,732844800.0,1798675200.0,3300000.0,Internacional,internacional,Internacional,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,90636,INT,False,False,0,1966,BR,Brazil,#cc0000,#cc0000,#cc0000,UY,Uruguay,3300000.0,EUR,False,False,
Martín Benítez,,,martin-benitez,M. Benítez,M,10,173.0,Right,613,155715,10.0,771811200.0,1767139200.0,1500000.0,América Mineiro,america-mineiro,América-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,43928,AMG,False,False,0,1973,BR,Brazil,#056635,#ffffff,#ffffff,AR,Argentina,1500000.0,EUR,,,
Alisson,,,alisson,Alisson,M,25,174.0,Right,732,291723,25.0,740966400.0,1735603200.0,470000.0,São Paulo,sao-paulo,São Paulo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,160434,SPA,False,False,0,1981,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,470000.0,EUR,,,
Samuel Xavier,,,xavier-samuel,S. Xavier,D,2,166.0,Right,386,795773,2.0,644630400.0,1735603200.0,460000.0,Fluminense,fluminense,Fluminense,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,113402,FLU,False,False,0,1961,BR,Brazil,#660000,#006633,#006633,BR,Brazil,460000.0,EUR,,,
Ademir,,,ademir,Ademir,F,7,172.0,Left,546,922546,7.0,792892800.0,1767139200.0,3600000.0,Bahia,bahia,Bahia,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,62440,BAH,False,False,0,1955,BR,Brazil,#ffffff,#333399,#333399,BR,Brazil,3600000.0,EUR,False,False,
Ruan Oliveira,Ruan Oliveira,,ruan-oliveira,Ruan Oliveira,M,33,176.0,Right,290,1047656,33.0,953769600.0,1703980800.0,545000.0,Corinthians,corinthians,Corinthians,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,174419,COR,False,False,0,1957,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,545000.0,EUR,False,False,
João Ricardo,,,joao-ricardo,J. Ricardo,G,1,188.0,Right,204,839761,1.0,589507200.0,1735603200.0,375000.0,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,73132,FOR,False,False,0,2020,BR,Brazil,#0000ff,#ff0000,#ff0000,BR,Brazil,375000.0,EUR,,,
Pedro,,,pedro,Pedro,F,9,186.0,Right,14019,840219,9.0,866764800.0,1830211200.0,21000000.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,BR,Brazil,21000000.0,EUR,,,
Islam Slimani,,,islam-slimani,I. Slimani,F,9,188.0,Right,8838,238708,9.0,582595200.0,1735603200.0,1600000.0,Coritiba,coritiba,Coritiba,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,38928,COR,False,False,0,1982,BR,Brazil,#ffffff,#009966,#009966,DZ,Algeria,1600000.0,EUR,,,
Danielzinho,,,danielzinho,Danielzinho,M,55,173.0,Right,263,840218,55.0,821318400.0,1735603200.0,1400000.0,Fluminense,fluminense,Fluminense,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,113402,FLU,False,False,0,1961,BR,Brazil,#660000,#006633,#006633,BR,Brazil,1400000.0,EUR,False,False,
Breno Lopes,,,breno-lopes,Breno Lopes,F,19,178.0,Right,685,937552,19.0,822441600.0,1735603200.0,1400000.0,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,204701,PAL,False,False,0,1963,BR,Brazil,#339966,#336633,#336633,BR,Brazil,1400000.0,EUR,,,
Fagner,,,fagner,Fagner,D,23,168.0,Right,1645,25554,23.0,613526400.0,1735603200.0,870000.0,Corinthians,corinthians,Corinthians,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,174419,COR,False,False,0,1957,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,870000.0,EUR,,,
Imanol Machuca,,,imanol-machuca,I. Machuca,M,39,169.0,Right,379,974698,39.0,947894400.0,1830211200.0,2600000.0,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,73132,FOR,False,False,0,2020,BR,Brazil,#0000ff,#ff0000,#ff0000,AR,Argentina,2600000.0,EUR,,,
Patryck,,,patryck,Patryck,D,36,180.0,Left,454,1002528,36.0,1042848000.0,1809043200.0,1400000.0,São Paulo,sao-paulo,São Paulo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,160434,SPA,False,False,0,1981,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,1400000.0,EUR,False,,
Jair,,,jair,Jair,M,8,178.0,Right,549,268419,8.0,778032000.0,1767139200.0,4900000.0,Vasco da Gama,vasco-da-gama,Vasco,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,103340,VAS,False,False,0,1974,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,4900000.0,EUR,,,
Aloísio,,,aloisio,Aloísio,F,99,175.0,Right,270,243497,99.0,582681600.0,1703980800.0,210000.0,América Mineiro,america-mineiro,América-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,43928,AMG,False,False,0,1973,BR,Brazil,#056635,#ffffff,#ffffff,CN,China,210000.0,EUR,False,,
Luan Patrick,,,luan-patrick,Luan Patrick,D,30,190.0,Right,151,1002565,30.0,1011484800.0,1703980800.0,1400000.0,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,58804,BRA,False,False,0,1999,BR,Brazil,#363636,#d8d8d6,#d8d8d6,BR,Brazil,1400000.0,EUR,False,,
Emmanuel Martínez,,,emmanuel-martinez,E. Martinez,M,5,177.0,Right,247,794312,5.0,770688000.0,1767139200.0,1100000.0,América Mineiro,america-mineiro,América-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,43928,AMG,False,False,0,1973,BR,Brazil,#056635,#ffffff,#ffffff,AR,Argentina,1100000.0,EUR,,,
Willian Oliveira,,,willian-oliveira,Willian Oliveira,M,12,179.0,Right,89,295167,12.0,737510400.0,1703980800.0,530000.0,Goiás,goias,Goiás,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,39854,GGO,False,False,0,1960,BR,Brazil,#006633,#ffffff,#ffffff,BR,Brazil,530000.0,EUR,False,,
Eduardo,,,eduardo,Eduardo,M,33,184.0,Right,920,76507,33.0,624585600.0,1735603200.0,1500000.0,Botafogo,botafogo,Botafogo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,100509,BOT,False,False,0,1958,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,1500000.0,EUR,False,,
Thiago Galhardo,,,thiago-galhardo,T. Galhardo,F,91,182.0,Right,1276,165677,91.0,616896000.0,1767139200.0,1000000.0,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,73132,FOR,False,False,0,2020,BR,Brazil,#0000ff,#ff0000,#ff0000,BR,Brazil,1000000.0,EUR,,,
Leonardo Fernández,,,leonardo-fernandez,Leonardo Fernández,M,17,166.0,Left,773,846411,17.0,910483200.0,1719705600.0,6800000.0,Fluminense,fluminense,Fluminense,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,113402,FLU,False,False,0,1961,BR,Brazil,#660000,#006633,#006633,UY,Uruguay,6800000.0,EUR,False,False,
Matheus Nascimento,Matheus Nascimento,,matheus-nascimento,Matheus Nascimento,F,90,182.0,Right,1245,1047683,90.0,1078272000.0,1767139200.0,8700000.0,Botafogo,botafogo,Botafogo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,100509,BOT,False,False,0,1958,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,8700000.0,EUR,False,,
Kayque,Kayque,,kayque,Kayque,M,62,176.0,Right,74,1101437,62.0,962928000.0,1719705600.0,1600000.0,RWD Molenbeek,rwd-molenbeek,RWD Molenbeek,M,Football,football,1,Pro League,pro-league,#16002b,#ff1740,Belgium,belgium,Football,football,1.0,33.0,belgium,BE,71099.0,38.0,False,7712,MOL,,False,0,204219,BE,Belgium,#ffffff,#000000,#000000,BR,Brazil,1600000.0,EUR,,,
Mariano,,,mariano,Mariano,D,25,177.0,Right,337,40076,25.0,519868800.0,1703980800.0,325000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,325000.0,EUR,,,
Paulinho,,,paulinho,Paulinho,M,15,181.0,Right,2675,115183,15.0,585792000.0,1703980800.0,740000.0,Corinthians,corinthians,Corinthians,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,174419,COR,False,False,0,1957,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,740000.0,EUR,False,,
Matheus Martinelli,,,martinelli-matheus,M. Martinelli,M,8,176.0,Right,694,1067671,8.0,1002240000.0,1767139200.0,5200000.0,Fluminense,fluminense,Fluminense,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,113402,FLU,False,False,0,1961,BR,Brazil,#660000,#006633,#006633,BR,Brazil,5200000.0,EUR,False,,
Hércules,,,hercules,Hércules,M,35,178.0,Right,244,1104068,35.0,972000000.0,1735603200.0,3100000.0,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,73132,FOR,False,False,0,2020,BR,Brazil,#0000ff,#ff0000,#ff0000,BR,Brazil,3100000.0,EUR,False,,
Vitor Hugo,,,vitor-hugo,V. Hugo,D,31,187.0,Left,318,794838,31.0,674697600.0,1798675200.0,3200000.0,Bahia,bahia,Bahia,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,62440,BAH,False,False,0,1955,BR,Brazil,#ffffff,#333399,#333399,BR,Brazil,3200000.0,EUR,,,
Erick Pulgar,,,erick-pulgar,E. Pulgar,M,5,186.0,Right,3187,590262,5.0,758592000.0,1767139200.0,6500000.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,CL,Chile,6500000.0,EUR,,,
Emanuel Brítez,,,emanuel-britez,Emanuel Brítez,D,19,178.0,Right,200,789395,19.0,701568000.0,1767139200.0,820000.0,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,73132,FOR,False,False,0,2020,BR,Brazil,#0000ff,#ff0000,#ff0000,AR,Argentina,820000.0,EUR,False,,
